petMar1	Lamprey	Petromyzon marinus
criGriChoV1	Chinese hamster	Cricetulus griseus
hpv1	Hpv	Human papillomavirus type 90
danRer11	Zebrafish	Danio rerio
hbv1	Hbv	Hepatitis B virus
papAnu3	Baboon	Papio anubis
susScr11	Pig	Sus scrofa
oreNil3	Nile tilapia	Oreochromis niloticus
staAur1	Staph	Staphylococcus aureus
hg38Patch11	GRCh38.p11	Homo sapiens
test	none	none
manLeu1	Drill	Mandrillus leucophaeus
aotNan1	Ma's night monkey	Aotus nancymaae
cerAty1	Sooty mangabey	Cercocebus atys
neoSch1	Hawaiian monk seal	Neomonachus schauinslandi
proCoq1	Coquerel's sifaka	Propithecus coquereli
cebCap1	White-faced sapajou	Cebus capucinus imitator
eulFla1	Sclater's lemur	Eulemur flavifrons
eulMac1	Black lemur	Eulemur macaco
anoGam3	A. gambiae	Anopheles gambiae
dipOrd2	Kangaroo rat	Dipodomys ordii
fukDam1	Damara mole rat	Fukomys damarensis
criGriChoV2	Chinese hamster	Cricetulus griseus
papAnu4	Baboon	Papio anubis
cavApe1	Brazilian guinea pig	Cavia aperea
ficAlb1	Collared flycatcher	Ficedula albicollis
petMar3	Lamprey	Petromyzon marinus
felCat9	Cat	Felis catus
astCal1	Eastern happy	Astatotilapia calliptera
casCan1	Beaver	Castor canadensis
panTro6	Chimp	Pan troglodytes
ponAbe3	Orangutan	Pongo pygmaeus abelii
equCab3	Horse	Equus caballus
grcHhh38	Human	Homo sapiens
grcH38P11	Human	Homo sapiens
oviAri4	Sheep	Ovis aries
hg19Patch13	GRCh37.p13	Homo sapiens
grcH38P12	Human	Homo sapiens
ambMex1	Axolotl	Ambystoma mexicanum
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
HLcalAnn1	Anna's hummingbird	Calypte anna
HLcalAnn2	Annas hummingbird	Calypte anna
HLequCab3	Horse	Equus caballus
HLchaPel1	Chimney swift	Chaetura pelagica
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
HLcalAnn1	Anna's hummingbird	Calypte anna
HLcalAnn2	Annas hummingbird	Calypte anna
HLequCab3	Horse	Equus caballus
HLchaPel1	Chimney swift	Chaetura pelagica
HLoreMel1	Black-breasted hillstar	Oreotrochilus melanogaster
HLpilTep1	Ugandan red colobus	Piliocolobus tephrosceles
HLcotJap2	Japanese quail	Coturnix japonica
HLanaPla1	Common mallard	Anas platyrhynchos platyrhynchos
HLanaPla2	Common mallard	Anas platyrhynchos platyrhynchos
HLcolLiv2	Rock pigeon	Columba livia
HLpsiKra1	Rose-ringed parakeet	Psittacula krameri
HLacrJav1	Javan myna	Acridotheres javanicus
HLanaZon1	Eastern spot-billed duck	Anas zonorhyncha
HLuriLom1	Thick-billed guillemot	Uria lomvia
HLansBra1	Pink-footed goose	Anser brachyrhynchus
HLsaxMau1	Siberian stonechat	Saxicola maurus maurus
HLstrOcc1	Northern spotted owl	Strix occidentalis caurina
HLcalSqu1	Scaled quail	Callipepla squamata
HLcolVir2	Northern bobwhite	Colinus virginianus
HLuriPel1	Pelagic cormorant	Urile pelagicus
HLlonStr1	Bengalese finch	Lonchura striata domestica
HLnanAur1	Double-crested cormorant	Nannopterum auritus
HLspoHyp1	Tawny-bellied seedeater	Sporophila hypoxantha
HLansCyg1	Swan goose	Anser cygnoides
HLnumMel2	Helmeted guineafowl	Numida meleagris
HLcorCor2	Hooded crow	Corvus cornix cornix
HLpatFas1	Band-tailed pigeon	Patagioenas fasciata monilis
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
HLcalAnn1	Anna's hummingbird	Calypte anna
HLcalAnn2	Annas hummingbird	Calypte anna
HLequCab3	Horse	Equus caballus
HLchaPel1	Chimney swift	Chaetura pelagica
macLig1	Macrostomum	Macrostomum lignano 
boaCon1	Boa	Boa constrictor
schJap1	Schist.japonicum	Schistosoma japonicum
schMed1	Schmidtea	Schmidtea mediterranea
schMan1	Schist.mansoni	Schistosoma mansoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
droSuz1	D. suzukii	Drosophila suzukii
droMau1	D. mauritiana	Drosophila mauritiana
dp5	D. pseudoobscura	Drosophila pseudoobscura pseudoobscura
droSuz2	D. suzukii	Drosophila suzukii
HLlipVex1	Yangtze river dolphin	Lipotes vexillifer
HLbalAcu1	Minke whale	Balaenoptera acutorostrata
HLphyCat1	Sperm whale	Physeter catodon 
HLursMar1	Polar bear	Ursus maritimus
lambda	Lambda	Enterobacteria phage lambda
HLtupMer0	Tupinambis	Tupinambis teguixin
HLtupMer1	Tupinambis	Tupinambis teguixin
HLthaPse1	Thalassiosira pseudonana	Thalassiosira pseudonana
HLphaTri1	Phaeodactylum tricornutum	Phaeodactylum tricornutum
HLfraCyl1	Fragilariopsis cylindrus	Fragilariopsis cylindrus
HLnotFur1	Turquoise killifish	Nothobranchius furzeri
HLtupMer2	Tupinambis	Tupinambis merianae
HLtreOri1	Tretioscincus	Tretioscincus oriximinensis
HLophGra1	Ophisaurus	Ophisaurus gracilis
HLtupMer3	Tupinambis	Tupinambis merianae
HLcalSin1	Calyptommatus	Calyptommatus sinebrachiatus
HLptePar	Parnell moustached bat	Pteronotus parnellii
HLcroHor1	Timber rattlesnake	Crotalus horridus
HLgekJap1	Gekko	Gekko japonicus
HLaotNan1	Night monkey	Aotus nancymaae
HLcebCap1	White-faced sapajou	Cebus capucinus imitator
HLproCoq1	Sifaka	Propithecus coquereli
HLcerAty1	Sooty mangabey	Cercocebus atys
HLcolAng1	Angolan colobus	Colobus angolensis palliatus
HLpogVit1	Australian dragon	Pogona vitticeps
schMed3	Schmidtea	Schmidtea mediterranea
macLig2	Macrostomum	Macrostomum lignano 
HLambMex2	Axolotl	Ambystoma mexicanum
HLambMex1	Axolotl	Ambystoma mexicanum
HLambMex4	Axolotl	Ambystoma mexicanum
HLambMex3	Axolotl	Ambystoma mexicanum
HLambMexHox	Axolotl	Ambystoma mexicanum
HLaciJub1	Cheetah	Acinonyx jubatus
HLailFul1	Lesser panda	Ailurus fulgens styani
HLcasCan1	American beaver	Castor canadensis
HLequAsi1	Ass	Equus asinus
HLfukDam1	Damara mole-rat	Fukomys damarensis
HLhipArm1	Great roundleaf bat	Hipposideros armiger
HLlycPic1	African hunting dog	Lycaon pictus
HLmanJav1	Malayan pangolin	Manis javanica
HLmarMar1	Alpine marmot	Marmota marmota marmota
HLminNat1	Natal long-fingered bat	Miniopterus natalensis
HLoviCan1	Bighorn sheep	Ovis canadensis canadensis
HLpanPar1	Leopard	Panthera pardus
HLrhiSin1	Chinese rufous horseshoe bat	Rhinolophus sinicus
HLodoVir1	White-tailed deer	Odocoileus virginianus texanus
HLcamFer2	Wild bactrian camel	Camelus ferus
HLcamBac1	Bactrian camel	Camelus bactrianus
HLcapHir2	Goat	Capra hircus
HLturTru3	Bottlenose dolphin	Tursiops truncatus
HLoviAri4	Sheep	Ovis aries
HLpteVam2	Large flying fox	Pteropus vampyrus
HLproCap2	Cape rock hyrax	Procavia capensis
HLsusScr4	Pig	Sus scrofa
HLchoHof2	Hoffmanns two-fingered sloth	Choloepus hoffmanni
ambMex3	Axolotl	Ambystoma mexicanum
HLmacNem1	Pig-tailed macaque	Macaca nemestrina
HLmerUng1	Mongolian gerbil	Meriones unguiculatus
HLcamDro1	Arabian camel	Camelus dromedarius
HLneoSch1	Hawaiian monk seal	Neomonachus schauinslandi
HLmusCar1	Ryukyu mouse	Mus caroli
HLmusPah1	Shrew mouse	Mus pahari
HLcerEla1	Red deer	Cervus elaphus hippelaphus
HLmanLeu1	Drill	Mandrillus leucophaeus
HLbosInd1	Zebu cattle	Bos indicus
HLaotNan2	Mas night monkey	Aotus nancymaae
HLphaCin1	Koala	Phascolarctos cinereus
HLdipOrd2	Ords kangaroo rat	Dipodomys ordii
HLdesRot1	Common vampire bat	Desmodus rotundus
HLorcOrc1	Killer whale	Orcinus orca
HLenhLut1	Sea otter	Enhydra lutris kenyoni
HLdelLeu1	Beluga whale	Delphinapterus leucas
HLmyoMyo1	Greater mouse-eared bat	Myotis myotis
HLmyoMyo2	Greater mouse-eared bat	Myotis myotis
HLmyoMyo3	Greater mouse-eared bat	Myotis myotis
HLcalAnn1	Anna's hummingbird	Calypte anna
HLcalAnn2	Annas hummingbird	Calypte anna
HLequCab3	Horse	Equus caballus
HLchaPel1	Chimney swift	Chaetura pelagica
HLoreMel1	Black-breasted hillstar	Oreotrochilus melanogaster
HLpilTep1	Ugandan red colobus	Piliocolobus tephrosceles
HLcotJap2	Japanese quail	Coturnix japonica
HLanaPla1	Common mallard	Anas platyrhynchos platyrhynchos
HLanaPla2	Common mallard	Anas platyrhynchos platyrhynchos
HLcolLiv2	Rock pigeon	Columba livia
HLpsiKra1	Rose-ringed parakeet	Psittacula krameri
HLacrJav1	Javan myna	Acridotheres javanicus
HLanaZon1	Eastern spot-billed duck	Anas zonorhyncha
HLuriLom1	Thick-billed guillemot	Uria lomvia
HLansBra1	Pink-footed goose	Anser brachyrhynchus
HLsaxMau1	Siberian stonechat	Saxicola maurus maurus
HLstrOcc1	Northern spotted owl	Strix occidentalis caurina
HLcalSqu1	Scaled quail	Callipepla squamata
HLcolVir2	Northern bobwhite	Colinus virginianus
HLuriPel1	Pelagic cormorant	Urile pelagicus
HLlonStr1	Bengalese finch	Lonchura striata domestica
HLnanAur1	Double-crested cormorant	Nannopterum auritus
HLspoHyp1	Tawny-bellied seedeater	Sporophila hypoxantha
HLansCyg1	Swan goose	Anser cygnoides
HLnumMel2	Helmeted guineafowl	Numida meleagris
HLcorCor2	Hooded crow	Corvus cornix cornix
HLpatFas1	Band-tailed pigeon	Patagioenas fasciata monilis
HLcolVir1	Northern bobwhite	Colinus virginianus
HLnumMel1	Helmeted guineafowl	Numida meleagris
HLtaeGut2	Zebra finch	Taeniopygia guttata
HLtaeGut3	Zebra finch	Taeniopygia guttata
HLhemCom1	Whiskered treeswift 	Hemiprocne comata
HLbalMys1	Bowhead whale	Balaena mysticetus
HLrhiFer1	Greater horseshoe bat	Rhinolophus ferrumequinum
HLtaeGut3A	Zebra finch	Taeniopygia guttata
HLtaeGut3B	Zebra finch	Taeniopygia guttata
HLtymCup1	Greater prairie chicken	Tympanuchus cupido pinnatus
HLcalAnn2B	Annas hummingbird	Calypte anna
HLcalAnn2A	Annas hummingbird	Calypte anna
HLtupMer6	Tegu lizard	Salvator merianae
HLpogVit2	Central bearded dragon	Pogona vitticeps
HLvipBer1	Common viper	Vipera berus berus
HLproMuc1	Brown spotted pitviper	Protobothrops mucrosquamatus
HLthaSir1	Common garter snake	Thamnophis sirtalis
HLhipAmp1	Hippopotamus	Hippopotamus amphibius
HLrhiFer2	Greater horseshoe bat	Rhinolophus ferrumequinum
HLphyDis1	Lesser spear-nosed bat	Phyllostomus discolor
HLphyDis2	Lesser spear-nosed bat	Phyllostomus discolor
HLrhiFer3	Greater horseshoe bat	Rhinolophus ferrumequinum
HLnycHum1	Evening bat	Nycticeius humeralis
HLmyoMyo4	Greater mouse-eared bat	Myotis myotis
HLloxAfr4	African savannah elephant	Loxodonta africana
HLcalAnn3B	Annas hummingbird	Calypte anna
HLcalAnn3A	Annas hummingbird	Calypte anna
